Language,Count,Percentage,Total Duration,Duration Percentage
en,597614,99.27274781060214,2854064.3957966547,99.37613104945933
de,794,0.1318954404709697,3307.3554199692744,0.11515934473169587
fr,740,0.12292522159762921,2894.99978517246,0.10080146701075084
es,504,0.08372204281784475,2035.2420455795582,0.07086542284636453
it,432,0.07176175098672408,1775.26342097635,0.061813184954789185
nl,334,0.05548246488325426,1381.677009226732,0.04810883585498589
da,274,0.04551555502398703,1129.8211974801623,0.03933942750156684
pl,162,0.026910656620021525,736.2511848213625,0.025635649404366245
mt,122,0.020266050047176708,526.8398665370645,0.018344122752161327
sv,122,0.020266050047176708,507.0923343323925,0.017656530225810103
pt,120,0.019933819718534466,456.24371206184776,0.015886023800697844
et,96,0.015947055774827572,465.81772514805425,0.016219382914992996
fi,86,0.014285904131616366,346.4766325397669,0.012064026057560757
ro,84,0.013953673802974128,357.7420160940454,0.01245627727447835
sl,76,0.012624752488405163,289.16427546073214,0.010068457801908352
eu,54,0.00897021887334051,223.37343402702726,0.007777675824529353
id,52,0.008637988544698268,207.9770754087428,0.007241587516925478
lt,44,0.007309067230129304,190.9922522522522,0.006650190204959726
lv,32,0.005315685258275858,108.39304656962307,0.0037741550669344
hu,26,0.004318994272349134,85.52802747417431,0.0029780142589609843
cs,20,0.003322303286422411,89.72909374958876,0.003124291866904206
tr,20,0.003322303286422411,69.35519299795979,0.0024148897125364135
cy,20,0.003322303286422411,67.33743076409712,0.002344632922088973
ca,20,0.003322303286422411,80.1013013013018,0.002789060200279215
af,18,0.0029900729577801697,83.03576910243598,0.002891235910538384
eo,12,0.0019933819718534465,34.15321988655321,0.001189186501960388
nb,12,0.0019933819718534465,54.985905905906144,0.001914563174967649
tl,10,0.0016611516432112055,27.104314118039603,0.0009437495088642426
no,10,0.0016611516432112055,38.64014681348013,0.0013454175382875046
xh,10,0.0016611516432112055,26.746780113447155,0.0009313004743759722
ms,10,0.0016611516432112055,42.12475809142508,0.0014667487834841718
mg,8,0.0013289213145689645,27.682222222221952,0.000963871784864865
sk,8,0.0013289213145689645,39.4984651317984,0.0013753034630090944
br,8,0.0013289213145689645,36.860527193860435,0.0012834526741456952
he,6,0.0009966909859267232,35.50610610610508,0.001236292866640596
wa,6,0.0009966909859267232,29.456176574049493,0.0010256393891286662
ga,4,0.0006644606572844822,14.212746079412582,0.0004948759106628877
sw,4,0.0006644606572844822,23.247280613947314,0.0008094508337785178
nn,4,0.0006644606572844822,22.679746413079798,0.0007896897683997816
hr,4,0.0006644606572844822,15.312412412412371,0.0005331653710478073
gl,2,0.0003322303286422411,5.83503503503502,0.00020317103117008315
la,2,0.0003322303286422411,5.700000000000003,0.00019846922438616072
ku,2,0.0003322303286422411,9.473340006672615,0.00032985376201240344
vo,2,0.0003322303286422411,6.20143476810145,0.00021592876289587098
bs,2,0.0003322303286422411,6.172839506172906,0.0002149330998334013
